iso,umd_tree_cover_loss__ha,country_name
AFG,14.74150500058484,Afghanistan
AGO,268277.52047413733,Angola
ALA,1093.0014009476229,Aland Islands
ALB,2502.625022474969,Albania
AND,5.645944555557729,Andorra
ARG,215940.58732791696,Argentina
ARM,86.45189272528238,Armenia
ATG,19.20554960403429,Antigua and Barbuda
AUS,190713.1907384672,Australia
AUT,26516.80857699888,Austria
AZE,460.9647855264825,Azerbaijan
BDI,1952.261194283684,Burundi
BEL,7579.452194689267,Belgium
BEN,2602.428173804696,Benin
BFA,0.0,Burkina Faso
BGD,17787.15616168202,Bangladesh
BGR,5653.070192213147,Bulgaria
BHS,1259.3698163921308,Bahamas
BIH,3947.301712817042,Bosnia and Herzegovina
BLR,59232.4108394715,Belarus
BLZ,22573.904722506224,Belize
BOL,696296.9351711388,Bolivia
BRA,2805357.527794182,Brazil
BRB,5.920855218819988,Barbados
BRN,915.2982912436172,Brunei Darussalam
BTN,1796.8016602653777,Bhutan
BWA,2.395033293328993,Botswana
CAF,54533.63547154935,Central African Republic
CAN,8570165.80565261,Canada
CHE,3119.723013399065,Switzerland
CHL,107337.4421943878,Chile
CHN,602678.5518822565,China
CIV,190298.276268676,Cote d'Ivoire
CMR,204198.57172304727,Cameroon
COD,1325020.5439812404,DR Congo
COG,67415.15225976841,Congo Republic
COL,196634.3019606167,Colombia
COM,154.22294818335945,Comoros
CRI,9049.886360587265,Costa Rica
CUB,18795.439710020608,Cuba
CUW,3.836549081584744,Curacao
CYM,24.62707433583008,Cayman Islands
CYP,54.50247531159723,Cyprus
CZE,24393.594884146485,Czechia
DEU,122937.58546349993,Germany
DMA,144.95933567120497,Dominica
DNK,3977.7142352550695,Denmark
DOM,22946.90735193277,Dominican Republic
DZA,22019.65314939712,Algeria
ECU,43010.31013622179,Ecuador
EGY,35.40372228590386,Egypt
ERI,0.0,Eritrea
ESP,85868.72878514059,Spain
EST,36156.05147541368,Estonia
ETH,36262.92476927031,Ethiopia
FIN,241781.2112751308,Finland
FJI,788.6700723882572,Fiji
FRA,86279.39570544072,France
GAB,19706.66703012597,Gabon
GBR,21608.961118107225,United Kingdom
GEO,785.481253823265,Georgia
GGY,0.6551027834874132,Guernsey
GHA,112582.44198031945,Ghana
GIN,154122.53249843905,Guinea
GLP,36.83073756595377,Guadeloupe
GMB,12.067643496638455,Gambia
GNB,11478.585846810149,Guinea-Bissau
GNQ,8524.907065863697,Equatorial Guinea
GRC,46011.64344139732,Greece
GRD,26.71467963090984,Grenada
GTM,71097.86387879594,Guatemala
GUF,5044.363057909828,French Guiana
GUY,27881.65114920181,Guyana
HND,84447.36858376217,Honduras
HRV,10503.305562965092,Croatia
HTI,2555.7120839725294,Haiti
HUN,19703.67251541803,Hungary
IDN,1395286.5400630503,Indonesia
IMN,7.622014749780818,Isle of Man
IND,136712.84001972884,India
IRL,6858.346962229665,Ireland
IRN,136.96536965306856,Iran
IRQ,3.355857671286892,Iraq
ISR,61.34880050846465,Israel
ITA,44861.64181445411,Italy
JAM,1970.8230228878688,Jamaica
JOR,0.3918947888780383,Jordan
